"X","work","home","num_of_workers","BG","origin_lat","origin_lon","dest_lat","dest_lon","distance","duration","dest_time","far"
21,60371011102008,60375436011003,1,60375436011,33.8229608,-118.2866373,34.2567837,-118.2991093,57363,2784,9.77333333333333,"40-80"
22,60371048221004,60375436011002,1,60375436011,33.8233175,-118.2842339,34.2474638,-118.4214299,59109,2730,9.75833333333333,"40-80"
23,60371065202012,60375436011000,1,60375436011,33.8232612,-118.2791352,34.3041134,-118.4614633,67310,2936,9.81555555555556,"40-80"
24,60371082012005,60375436011000,1,60375436011,33.8232612,-118.2791352,34.2769059,-118.5666872,70174,2898,9.805,"40-80"
25,60371091002002,60375436011007,1,60375436011,33.8200666,-118.2786938,34.283294,-118.4636405,62426,2577,9.71583333333333,"40-80"
26,60371091002003,60375436011000,1,60375436011,33.8232612,-118.2791352,34.2801706,-118.4617764,62315,2579,9.71638888888889,"40-80"
27,60371111002004,60375436011012,1,60375436011,33.8201451,-118.2866623,34.2707595,-118.5003054,63511,2616,9.72666666666667,"40-80"
28,60371113011000,60375436011004,1,60375436011,33.8207315,-118.2835634,34.264176,-118.5033647,63924,2649,9.73583333333333,"40-80"
29,60371132371029,60375436011004,1,60375436011,33.8207315,-118.2835634,34.240903,-118.5997245,77301,3233,9.89805555555555,"40-80"
30,60371133032032,60375436011000,1,60375436011,33.8232612,-118.2791352,34.2368722,-118.5682296,65469,3195,9.8875,"40-80"
31,60371134011000,60375436011011,1,60375436011,33.8216653,-118.2776879,34.2307104,-118.558885,62674,3022,9.83944444444444,"40-80"
32,60371151011002,60375436011004,1,60375436011,33.8207315,-118.2835634,34.2484957,-118.5100633,61336,2687,9.74638888888889,"40-80"
33,60371173032010,60375436011001,1,60375436011,33.8223485,-118.2777169,34.2219219,-118.4949513,56969,2440,9.67777777777778,"40-80"
34,60371175302003,60375436011003,1,60375436011,33.8229608,-118.2866373,34.2230266,-118.4622379,55088,2361,9.65583333333333,"40-80"
35,60371210102007,60375436011000,1,60375436011,33.8232612,-118.2791352,34.223913,-118.403944,54919,2690,9.74722222222222,"40-80"
36,60371210102007,60375436011004,1,60375436011,33.8207315,-118.2835634,34.223913,-118.403944,54386,2628,9.73,"40-80"
37,60371232052002,60375436011000,1,60375436011,33.8232612,-118.2791352,34.1959027,-118.3852278,53789,2735,9.75972222222222,"40-80"
38,60371241022005,60375436011002,1,60375436011,33.8233175,-118.2842339,34.1730609,-118.3828122,47715,2325,9.64583333333333,"40-80"
39,60371276052001,60375436011004,1,60375436011,33.8207315,-118.2835634,34.1920895,-118.484742,52483,2254,9.62611111111111,"40-80"
40,60371284003000,60375436011000,1,60375436011,33.8232612,-118.2791352,34.1799165,-118.4617473,50772,2279,9.63305555555556,"40-80"
41,60371287022010,60375436011002,1,60375436011,33.8233175,-118.2842339,34.1566714,-118.4355921,50657,2196,9.61,"40-80"
42,60371288011000,60375436011002,1,60375436011,33.8233175,-118.2842339,34.167651,-118.4674284,49309,2071,9.57527777777778,"40-80"
43,60371331001007,60375436011002,1,60375436011,33.8233175,-118.2842339,34.1883398,-118.5371044,55707,2468,9.68555555555556,"40-80"
44,60371347201001,60375436011011,1,60375436011,33.8216653,-118.2776879,34.2027203,-118.5630317,59676,2715,9.75416666666667,"40-80"
45,60371351142001,60375436011007,1,60375436011,33.8200666,-118.2786938,34.1904438,-118.603662,64031,2949,9.81916666666667,"40-80"
46,60371352011007,60375436011004,1,60375436011,33.8207315,-118.2835634,34.1903616,-118.6261323,65121,2969,9.82472222222222,"40-80"
47,60371371032002,60375436011007,1,60375436011,33.8200666,-118.2786938,34.178189,-118.6029604,62151,2661,9.73916666666667,"40-80"
48,60371371041003,60375436011011,1,60375436011,33.8216653,-118.2776879,34.1781729,-118.5948447,61218,2617,9.72694444444445,"40-80"
49,60371371041004,60375436011007,1,60375436011,33.8200666,-118.2786938,34.175616,-118.5930921,60780,2648,9.73555555555556,"40-80"
50,60371371041004,60375436011008,1,60375436011,33.820989,-118.2776565,34.175616,-118.5930921,60461,2636,9.73222222222222,"40-80"
51,60371375021000,60375436011000,1,60375436011,33.8232612,-118.2791352,34.1671215,-118.5904728,60165,2597,9.72138888888889,"40-80"
52,60371394012003,60375436011007,1,60375436011,33.8200666,-118.2786938,34.1704152,-118.5440819,55602,2459,9.68305555555555,"40-80"
53,60371394021006,60375436011000,1,60375436011,33.8232612,-118.2791352,34.1685861,-118.5613318,57840,2608,9.72444444444444,"40-80"
54,60371434001018,60375436011003,1,60375436011,33.8229608,-118.2866373,34.1517572,-118.4041147,47894,2466,9.685,"40-80"
55,60371436022013,60375436011003,1,60375436011,33.8229608,-118.2866373,34.1402523,-118.3811453,44416,2308,9.64111111111111,"40-80"
56,60371436041002,60375436011007,1,60375436011,33.8200666,-118.2786938,34.1430988,-118.3712911,44531,2334,9.64833333333333,"40-80"
57,60371437001000,60375436011004,1,60375436011,33.8207315,-118.2835634,34.1365512,-118.3575508,42553,2182,9.60611111111111,"40-80"
58,60371439011000,60375436011000,1,60375436011,33.8232612,-118.2791352,34.1365026,-118.4036484,51835,2768,9.76888888888889,"40-80"
59,60371836102003,60375436011012,1,60375436011,33.8201451,-118.2866623,34.1130555,-118.1936209,37403,2021,9.56138888888889,"0-40"
60,60371881001009,60375436011002,1,60375436011,33.8233175,-118.2842339,34.1416737,-118.2716646,40594,1979,9.54972222222222,"40-80"
61,60371883003000,60375436011002,1,60375436011,33.8233175,-118.2842339,34.1185414,-118.2672376,38713,1990,9.55277777777778,"0-40"
62,60371899052003,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0989315,-118.3533815,42219,2523,9.70083333333333,"40-80"
63,60371908012002,60375436011002,1,60375436011,33.8233175,-118.2842339,34.096625,-118.3251807,37610,2114,9.58722222222222,"0-40"
64,60371908012002,60375436011004,1,60375436011,33.8207315,-118.2835634,34.096625,-118.3251807,37846,2146,9.59611111111111,"0-40"
65,60371908012002,60375436011011,1,60375436011,33.8216653,-118.2776879,34.096625,-118.3251807,37934,2162,9.60055555555556,"0-40"
66,60371908012004,60375436011003,1,60375436011,33.8229608,-118.2866373,34.0957275,-118.323067,37218,2087,9.57972222222222,"0-40"
67,60371910003000,60375436011004,1,60375436011,33.8207315,-118.2835634,34.1010505,-118.321222,37273,2031,9.56416666666667,"0-40"
68,60371912011001,60375436011004,1,60375436011,33.8207315,-118.2835634,34.0996563,-118.2932659,37063,2282,9.63388888888889,"0-40"
69,60371912011001,60375436011011,1,60375436011,33.8216653,-118.2776879,34.0996563,-118.2932659,37151,2297,9.63805555555555,"0-40"
70,60371913022003,60375436011002,2,60375436011,33.8233175,-118.2842339,34.0975805,-118.2901183,35389,2156,9.59888888888889,"0-40"
71,60371913022003,60375436011005,1,60375436011,33.821354,-118.2845118,34.0975805,-118.2901183,35106,2148,9.59666666666667,"0-40"
72,60371917101002,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0854739,-118.3192295,37579,2298,9.63833333333333,"0-40"
73,60371917101002,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0854739,-118.3192295,36810,2204,9.61222222222222,"0-40"
74,60371918102005,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0880166,-118.3282588,38065,2290,9.63611111111111,"0-40"
75,60371920012010,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0826816,-118.3480442,38492,2489,9.69138888888889,"0-40"
76,60371945002018,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0791435,-118.3759228,35936,2498,9.69388888888889,"0-40"
77,60371953003006,60375436011007,1,60375436011,33.8200666,-118.2786938,34.0990832,-118.2868056,35917,2205,9.6125,"0-40"
78,60371999002002,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0668509,-118.2082903,35631,1773,9.4925,"0-40"
79,60372031001001,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0637251,-118.1967137,41322,1823,9.50638888888889,"40-80"
80,60372032001013,60375436011007,1,60375436011,33.8200666,-118.2786938,34.0518889,-118.1972043,35457,1817,9.50472222222222,"0-40"
81,60372033001021,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0588723,-118.2077883,39159,2027,9.56305555555556,"0-40"
82,60372033001021,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0588723,-118.2077883,41316,1947,9.54083333333333,"40-80"
83,60372033001021,60375436011004,1,60375436011,33.8207315,-118.2835634,34.0588723,-118.2077883,41552,1979,9.54972222222222,"40-80"
84,60372033001021,60375436011007,1,60375436011,33.8200666,-118.2786938,34.0588723,-118.2077883,41962,2007,9.5575,"40-80"
85,60372033001021,60375436011012,1,60375436011,33.8201451,-118.2866623,34.0588723,-118.2077883,41374,1971,9.5475,"40-80"
86,60372036003003,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0511413,-118.213067,33119,1644,9.45666666666667,"0-40"
87,60372046002008,60375436011003,1,60375436011,33.8229608,-118.2866373,34.0393105,-118.2133933,31347,1614,9.44833333333333,"0-40"
88,60372047002003,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0314943,-118.2122343,31775,1617,9.44916666666667,"0-40"
89,60372049202009,60375436011009,1,60375436011,33.8197828,-118.2813402,34.0162099,-118.2018838,33890,1670,9.46388888888889,"0-40"
90,60372060201004,60375436011012,1,60375436011,33.8201451,-118.2866623,34.0589061,-118.2290745,31674,1896,9.52666666666667,"0-40"
91,60372060311017,60375436011004,1,60375436011,33.8207315,-118.2835634,34.050728,-118.233962,30777,1629,9.4525,"0-40"
92,60372060311035,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0445264,-118.2314363,31468,1766,9.49055555555556,"0-40"
93,60372060311035,60375436011007,1,60375436011,33.8200666,-118.2786938,34.0445264,-118.2314363,32113,1826,9.50722222222222,"0-40"
94,60372060312034,60375436011004,1,60375436011,33.8207315,-118.2835634,34.0329554,-118.2364738,30205,1696,9.47111111111111,"0-40"
95,60372060312093,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0246068,-118.2320252,30438,1688,9.46888888888889,"0-40"
96,60372060312102,60375436011004,1,60375436011,33.8207315,-118.2835634,34.0179533,-118.2360504,29465,1551,9.43083333333333,"0-40"
97,60372060312111,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0160827,-118.233682,30503,1644,9.45666666666667,"0-40"
98,60372060312122,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0148707,-118.2396453,26755,1781,9.49472222222222,"0-40"
99,60372060323010,60375436011001,1,60375436011,33.8223485,-118.2777169,34.050101,-118.2285891,31869,1664,9.46222222222222,"0-40"
100,60372060501032,60375436011007,1,60375436011,33.8200666,-118.2786938,34.0372065,-118.2248591,32206,1637,9.45472222222222,"0-40"
101,60372060501071,60375436011004,1,60375436011,33.8207315,-118.2835634,34.0276166,-118.2212772,31824,1608,9.44666666666667,"0-40"
102,60372062002014,60375436011004,1,60375436011,33.8207315,-118.2835634,34.0466565,-118.2419633,29632,1720,9.47777777777778,"0-40"
103,60372063003005,60375436011004,1,60375436011,33.8207315,-118.2835634,34.0435307,-118.2491223,28819,1715,9.47638888888889,"0-40"
104,60372073021000,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0465018,-118.2500215,29639,1712,9.47555555555556,"0-40"
105,60372074001009,60375436011012,1,60375436011,33.8201451,-118.2866623,34.0587316,-118.2503542,28628,1516,9.42111111111111,"0-40"
106,60372074001010,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0589195,-118.2484848,29061,1535,9.42638888888889,"0-40"
107,60372074001010,60375436011007,2,60375436011,33.8200666,-118.2786938,34.0589195,-118.2484848,29706,1595,9.44305555555556,"0-40"
108,60372074001016,60375436011000,4,60375436011,33.8232612,-118.2791352,34.0562223,-118.246642,29802,1691,9.46972222222222,"0-40"
109,60372074001016,60375436011001,2,60375436011,33.8223485,-118.2777169,34.0562223,-118.246642,29544,1635,9.45416666666667,"0-40"
110,60372074001016,60375436011002,8,60375436011,33.8233175,-118.2842339,34.0562223,-118.246642,29033,1598,9.44388888888889,"0-40"
111,60372074001016,60375436011003,4,60375436011,33.8229608,-118.2866373,34.0562223,-118.246642,28748,1594,9.44277777777778,"0-40"
112,60372074001016,60375436011004,17,60375436011,33.8207315,-118.2835634,34.0562223,-118.246642,29269,1630,9.45277777777778,"0-40"
113,60372074001016,60375436011007,4,60375436011,33.8200666,-118.2786938,34.0562223,-118.246642,29679,1657,9.46027777777778,"0-40"
114,60372074001016,60375436011008,1,60375436011,33.820989,-118.2776565,34.0562223,-118.246642,29361,1646,9.45722222222222,"0-40"
115,60372074001016,60375436011009,1,60375436011,33.8197828,-118.2813402,34.0562223,-118.246642,29162,1592,9.44222222222222,"0-40"
116,60372074001016,60375436011012,2,60375436011,33.8201451,-118.2866623,34.0562223,-118.246642,29090,1621,9.45027777777778,"0-40"
117,60372074001016,60375436011014,1,60375436011,33.8212591,-118.2862403,34.0562223,-118.246642,31628,1626,9.45166666666667,"0-40"
118,60372074001030,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0535381,-118.2430308,30073,1739,9.48305555555556,"0-40"
119,60372074001030,60375436011004,1,60375436011,33.8207315,-118.2835634,34.0535381,-118.2430308,29540,1677,9.46583333333333,"0-40"
120,60372074001030,60375436011007,1,60375436011,33.8200666,-118.2786938,34.0535381,-118.2430308,29950,1705,9.47361111111111,"0-40"
121,60372074001034,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0526687,-118.2455646,28838,1575,9.4375,"0-40"
122,60372074001034,60375436011005,1,60375436011,33.821354,-118.2845118,34.0526687,-118.2455646,28555,1567,9.43527777777778,"0-40"
123,60372074001036,60375436011002,1,60375436011,33.8233175,-118.2842339,34.0512457,-118.2434195,30177,1586,9.44055555555556,"0-40"
124,60372074001036,60375436011007,1,60375436011,33.8200666,-118.2786938,34.0512457,-118.2434195,30823,1646,9.45722222222222,"0-40"
125,60372074001036,60375436011009,1,60375436011,33.8197828,-118.2813402,34.0512457,-118.2434195,30306,1581,9.43916666666667,"0-40"
126,60372074001037,60375436011000,1,60375436011,33.8232612,-118.2791352,34.0522372,-118.2413901,30181,1769,9.49138888888889,"0-40"
