"X","work","home","num_of_workers","BG","origin_lat","origin_lon","dest_lat","dest_lon","distance","duration","dest_time","far"
3,60371173024009,60372060101027,1,60372060101,34.0675735,-118.2363017,34.2247626,-118.5002079,37818,1900,9.52777777777778,"0-40"
4,60371204004005,60372060101027,1,60372060101,34.0675735,-118.2363017,34.2188574,-118.4300695,29316,1426,9.39611111111111,"0-40"
5,60371211022012,60372060101001,1,60372060101,34.0776859,-118.2336594,34.2364149,-118.370542,24679,1216,9.33777777777778,"0-40"
6,60371212221001,60372060101014,1,60372060101,34.073055,-118.230415,34.2357901,-118.3930967,26113,1263,9.35083333333333,"0-40"
7,60371246003009,60372060101014,1,60372060101,34.073055,-118.230415,34.1568025,-118.4268556,25624,1128,9.31333333333333,"0-40"
8,60371277121000,60372060101017,1,60372060101,34.0718137,-118.232537,34.2002095,-118.4683757,32693,1415,9.39305555555556,"0-40"
9,60371312001006,60372060101014,1,60372060101,34.073055,-118.230415,34.2164353,-118.5129969,43288,1943,9.53972222222222,"40-80"
10,60371349051003,60372060101014,1,60372060101,34.073055,-118.230415,34.1856022,-118.595082,42465,1976,9.54888888888889,"40-80"
11,60371371041005,60372060101014,1,60372060101,34.073055,-118.230415,34.1710425,-118.5925535,41266,1815,9.50416666666667,"40-80"
12,60371397013003,60372060101017,1,60372060101,34.0718137,-118.232537,34.159156,-118.4972169,31062,1443,9.40083333333333,"0-40"
13,60371397022001,60372060101017,1,60372060101,34.0718137,-118.232537,34.1495876,-118.4897076,32009,1535,9.42638888888889,"0-40"
14,60371437001000,60372060101014,1,60372060101,34.073055,-118.230415,34.1365512,-118.3575508,16454,884,9.24555555555555,"0-40"
15,60371831011002,60372060101027,1,60372060101,34.0675735,-118.2363017,34.1186415,-118.1820449,9310,613,9.17027777777778,"0-40"
16,60371831012001,60372060101017,1,60372060101,34.0718137,-118.232537,34.1276476,-118.1851666,9399,616,9.17111111111111,"0-40"
17,60371832202000,60372060101007,1,60372060101,34.0773514,-118.2341853,34.1187478,-118.1842568,8720,609,9.16916666666667,"0-40"
