"X","work","home","num_of_workers","BG","origin_lat","origin_lon","dest_lat","dest_lon","distance","duration","dest_time","far"
199,60376025093009,60650301043028,1,60650301043,33.9977595,-117.3561719,33.9222131,-118.3337125,105791,4050,10.125,"80-120"
200,60376027004023,60650301043001,1,60650301043,34.0070262,-117.3681027,33.9189261,-118.3212651,105739,4277,10.1880555555556,"80-120"
201,60376032002004,60650301043024,1,60650301043,33.999774,-117.3589672,33.8701465,-118.3023094,98872,3773,10.0480555555556,"80-120"
202,60376037033000,60650301043012,1,60650301043,34.0027005,-117.3645093,33.9010035,-118.3422704,107630,4300,10.1944444444444,"80-120"
203,60376038011008,60650301043010,1,60650301043,34.0046433,-117.3693954,33.9010251,-118.344397,107786,4299,10.1941666666667,"80-120"
204,60376038013005,60650301043016,1,60650301043,34.0031124,-117.3597635,33.8973495,-118.351314,106953,4129,10.1469444444444,"80-120"
205,60376205013004,60650301043012,1,60650301043,34.0027005,-117.3645093,33.8900909,-118.3667368,107883,4176,10.16,"80-120"
206,60376509012003,60650301043017,1,60650301043,34.0025476,-117.3582775,33.8450613,-118.316432,102775,3960,10.1,"80-120"
207,60376511012021,60650301043006,1,60650301043,34.0060829,-117.3684308,33.8096668,-118.3325102,109526,4506,10.2516666666667,"80-120"
208,60376511012046,60650301043001,1,60650301043,34.0070262,-117.3681027,33.8115462,-118.3472817,112807,4724,10.3122222222222,"80-120"
209,60377008013032,60650301043001,1,60650301043,34.0070262,-117.3681027,34.069032,-118.4014723,104360,4521,10.2558333333333,"80-120"
210,60377008013033,60650301043012,1,60650301043,34.0027005,-117.3645093,34.0686621,-118.401966,105435,4642,10.2894444444444,"80-120"
211,60377008013036,60650301043024,1,60650301043,33.999774,-117.3589672,34.0688636,-118.4051539,108492,4625,10.2847222222222,"80-120"
212,60377010002000,60650301043014,1,60650301043,34.004874,-117.3629136,34.0665743,-118.4039616,105509,4501,10.2502777777778,"80-120"
213,60377017022001,60650301043010,1,60650301043,34.0046433,-117.3693954,34.0243746,-118.4837123,108561,4314,10.1983333333333,"80-120"
214,60377026006016,60650301043016,1,60650301043,34.0031124,-117.3597635,33.9985427,-118.4004189,109780,4359,10.2108333333333,"80-120"
215,60377028012005,60650301043018,1,60650301043,34.0025766,-117.3569321,34.011191,-118.408926,104660,4332,10.2033333333333,"80-120"
216,60377030012000,60650301043022,1,60650301043,34.000118,-117.3569394,33.9881878,-118.3839249,119747,4463,10.2397222222222,"80-120"
217,60378001011009,60650301043025,1,60650301043,34.0012498,-117.3620103,34.1409598,-118.6188271,130224,5110,10.4194444444444,"120-160"
218,60378003241004,60650301043017,1,60650301043,34.0025476,-117.3582775,34.1544006,-118.7623092,142845,5377,10.4936111111111,"120-160"
220,60379102012013,60650301043000,1,60650301043,34.0077899,-117.3671563,34.5999233,-118.1455403,127077,5161,10.4336111111111,"120-160"
221,60379107131004,60650301043024,1,60650301043,33.999774,-117.3589672,34.5765378,-118.0426257,111480,4522,10.2561111111111,"80-120"
222,60379200382000,60650301043016,1,60650301043,34.0031124,-117.3597635,34.4255884,-118.4445636,138363,5215,10.4486111111111,"120-160"
223,60379201071049,60650301043007,1,60650301043,34.0017148,-117.3652335,34.4375479,-118.5699745,140784,5237,10.4547222222222,"120-160"
224,60379201071051,60650301043015,1,60650301043,34.0035562,-117.3620745,34.4345579,-118.5809659,139760,5133,10.4258333333333,"120-160"
225,60379201071054,60650301043015,1,60650301043,34.0035562,-117.3620745,34.434816,-118.5755344,140375,5176,10.4377777777778,"120-160"
227,60379203142008,60650301043023,1,60650301043,33.9997875,-117.3556947,34.4134744,-118.5110269,138984,5356,10.4877777777778,"120-160"
229,60379203281018,60650301043017,1,60650301043,34.0025476,-117.3582775,34.4150664,-118.5773609,136939,5015,10.3930555555556,"120-160"
230,60379800061003,60650301043013,1,60650301043,34.004432,-117.3652038,33.8239658,-118.0873564,82553,3728,10.0355555555556,"80-120"
231,60379800131003,60650301043014,1,60650301043,34.004874,-117.3629136,33.9296809,-118.3854662,111464,4189,10.1636111111111,"80-120"
232,60379800131015,60650301043000,1,60650301043,34.0077899,-117.3671563,33.9179748,-118.3890966,109789,4362,10.2116666666667,"80-120"
233,60379800131027,60650301043027,1,60650301043,34.0036865,-117.3687194,33.9036938,-118.3901167,109859,4315,10.1986111111111,"80-120"
234,60379800281019,60650301043019,1,60650301043,34.0021066,-117.3555449,33.9423777,-118.416032,116455,4467,10.2408333333333,"80-120"
235,60379800281025,60650301043003,1,60650301043,34.0061374,-117.3645666,33.9442908,-118.398605,111829,4560,10.2666666666667,"80-120"
236,60379800281025,60650301043019,1,60650301043,34.0021066,-117.3555449,33.9442908,-118.398605,113170,4391,10.2197222222222,"80-120"
237,60379800281053,60650301043012,1,60650301043,34.0027005,-117.3645093,33.9383966,-118.3871726,111737,4441,10.2336111111111,"80-120"
238,60379800281053,60650301043024,1,60650301043,33.999774,-117.3589672,33.9383966,-118.3871726,112422,4388,10.2188888888889,"80-120"
242,60590013015010,60650301043010,1,60650301043,34.0046433,-117.3693954,33.9174083,-117.9599986,63361,2793,9.77583333333333,"40-80"
243,60590013015011,60650301043010,1,60650301043,34.0046433,-117.3693954,33.9174322,-117.9643946,63766,2835,9.7875,"40-80"
244,60590014041019,60650301043022,1,60650301043,34.000118,-117.3569394,33.9245155,-117.9265969,60766,2474,9.68722222222222,"40-80"
245,60590014041019,60650301043027,1,60650301043,34.0036865,-117.3687194,33.9245155,-117.9265969,59662,2435,9.67638888888889,"40-80"
246,60590014043015,60650301043022,1,60650301043,34.000118,-117.3569394,33.926416,-117.9354979,61784,2620,9.72777777777778,"40-80"
247,60590015031005,60650301043016,1,60650301043,34.0031124,-117.3597635,33.9247283,-117.9013329,58725,2447,9.67972222222222,"40-80"
248,60590015044027,60650301043001,1,60650301043,34.0070262,-117.3681027,33.9143255,-117.890711,58134,2376,9.66,"40-80"
249,60590015044027,60650301043021,1,60650301043,33.9995933,-117.3546803,33.9143255,-117.890711,60382,2417,9.67138888888889,"40-80"
250,60590111023005,60650301043006,1,60650301043,34.0060829,-117.3684308,33.8581407,-117.9405698,64700,2607,9.72416666666667,"40-80"
251,60590115042028,60650301043014,1,60650301043,34.004874,-117.3629136,33.8781373,-117.8833345,62115,2368,9.65777777777778,"40-80"
252,60590116021057,60650301043012,1,60650301043,34.0027005,-117.3645093,33.8561483,-117.8892277,58739,2283,9.63416666666667,"40-80"
253,60590116021059,60650301043022,1,60650301043,34.000118,-117.3569394,33.8544043,-117.8857875,59954,2297,9.63805555555555,"40-80"
254,60590116022037,60650301043014,1,60650301043,34.004874,-117.3629136,33.8564033,-117.9149402,62579,2548,9.70777777777778,"40-80"
255,60590117141033,60650301043010,1,60650301043,34.0046433,-117.3693954,33.8554813,-117.8622119,56596,2370,9.65833333333333,"40-80"
256,60590117141043,60650301043001,1,60650301043,34.0070262,-117.3681027,33.8540925,-117.87313,58858,2508,9.69666666666667,"40-80"
257,60590117202002,60650301043027,1,60650301043,34.0036865,-117.3687194,33.8617549,-117.8649116,57149,2369,9.65805555555556,"40-80"
258,60590218021004,60650301043007,1,60650301043,34.0017148,-117.3652335,33.8912922,-117.8091475,53624,2202,9.61166666666667,"40-80"
259,60590218131016,60650301043026,1,60650301043,34.0006773,-117.3625596,33.8628521,-117.8089793,50668,2158,9.59944444444444,"40-80"
260,60590218131024,60650301043015,1,60650301043,34.0035562,-117.3620745,33.8581239,-117.8046652,50324,2112,9.58666666666667,"40-80"
261,60590218131026,60650301043017,1,60650301043,34.0025476,-117.3582775,33.8611224,-117.8028149,50578,2029,9.56361111111111,"40-80"
262,60590218131048,60650301043021,1,60650301043,33.9995933,-117.3546803,33.8609952,-117.8341287,55022,2205,9.6125,"40-80"
263,60590218144034,60650301043010,1,60650301043,34.0046433,-117.3693954,33.9141503,-117.8812058,58270,2402,9.66722222222222,"40-80"
264,60590218153048,60650301043015,1,60650301043,34.0035562,-117.3620745,33.9083128,-117.8490606,61672,2610,9.725,"40-80"
265,60590218212024,60650301043019,1,60650301043,34.0021066,-117.3555449,33.8657222,-117.8336979,55251,2237,9.62138888888889,"40-80"
266,60590218231028,60650301043007,1,60650301043,34.0017148,-117.3652335,33.8937815,-117.7798948,49102,2133,9.5925,"40-80"
267,60590218252028,60650301043012,1,60650301043,34.0027005,-117.3645093,33.8770857,-117.7512352,46755,2048,9.56888888888889,"40-80"
268,60590218252028,60650301043015,1,60650301043,34.0035562,-117.3620745,33.8770857,-117.7512352,46657,2010,9.55833333333333,"40-80"
269,60590218262010,60650301043007,1,60650301043,34.0017148,-117.3652335,33.8826373,-117.7377962,44040,1816,9.50444444444445,"40-80"
270,60590219183008,60650301043006,1,60650301043,34.0060829,-117.3684308,33.7888079,-117.798518,57723,2436,9.67666666666667,"40-80"
271,60590219243004,60650301043026,1,60650301043,34.0006773,-117.3625596,33.8759904,-117.7392154,44486,1800,9.5,"40-80"
272,60590320141000,60650301043023,1,60650301043,33.9997875,-117.3556947,33.6164323,-117.702266,74724,2844,9.79,"40-80"
273,60590320222004,60650301043008,1,60650301043,34.0033684,-117.3675451,33.5618152,-117.6634033,83354,3286,9.91277777777778,"80-120"
274,60590320501001,60650301043014,1,60650301043,34.004874,-117.3629136,33.657072,-117.5842333,78439,3024,9.84,"40-80"
275,60590320531005,60650301043008,1,60650301043,34.0033684,-117.3675451,33.6377692,-117.606486,77339,2948,9.81888888888889,"40-80"
276,60590320573002,60650301043012,1,60650301043,34.0027005,-117.3645093,33.5622643,-117.6453093,86711,3410,9.94722222222222,"80-120"
277,60590421062037,60650301043025,1,60650301043,34.0012498,-117.3620103,33.4372591,-117.6229916,98248,3582,9.995,"80-120"
278,60590423104005,60650301043001,1,60650301043,34.0070262,-117.3681027,33.4914892,-117.6755859,91930,3504,9.97333333333333,"80-120"
279,60590423331027,60650301043017,1,60650301043,34.0025476,-117.3582775,33.5692771,-117.6743383,80995,2952,9.82,"80-120"
280,60590524041150,60650301043012,1,60650301043,34.0027005,-117.3645093,33.6547137,-117.7358776,69273,2644,9.73444444444444,"40-80"
281,60590524102012,60650301043021,1,60650301043,33.9995933,-117.3546803,33.6447724,-117.7181874,72673,2733,9.75916666666667,"40-80"
282,60590524102043,60650301043006,1,60650301043,34.0060829,-117.3684308,33.639997,-117.71917,72929,2857,9.79361111111111,"40-80"
283,60590524222014,60650301043022,1,60650301043,34.000118,-117.3569394,33.6809378,-117.6709588,67579,2493,9.6925,"40-80"
284,60590524222019,60650301043015,1,60650301043,34.0035562,-117.3620745,33.6811013,-117.6731803,67109,2507,9.69638888888889,"40-80"
285,60590524233004,60650301043021,1,60650301043,33.9995933,-117.3546803,33.6640825,-117.6577814,69172,2592,9.72,"40-80"
286,60590524271001,60650301043010,1,60650301043,34.0046433,-117.3693954,33.6876577,-117.6483411,70460,2782,9.77277777777778,"40-80"
287,60590524271014,60650301043016,1,60650301043,34.0031124,-117.3597635,33.6717066,-117.6465427,71139,2722,9.75611111111111,"40-80"
288,60590524272009,60650301043024,1,60650301043,33.999774,-117.3589672,33.6779657,-117.6571494,69915,2656,9.73777777777778,"40-80"
289,60590524272010,60650301043010,1,60650301043,34.0046433,-117.3693954,33.6774982,-117.6591068,69071,2678,9.74388888888889,"40-80"
290,60590524285000,60650301043022,1,60650301043,34.000118,-117.3569394,33.678668,-117.6354588,72820,2772,9.77,"40-80"
291,60590525023021,60650301043026,1,60650301043,34.0006773,-117.3625596,33.7202546,-117.805545,62287,2425,9.67361111111111,"40-80"
292,60590525023030,60650301043007,1,60650301043,34.0017148,-117.3652335,33.7177618,-117.8038324,61719,2321,9.64472222222222,"40-80"
293,60590525181015,60650301043022,1,60650301043,34.000118,-117.3569394,33.6690012,-117.7665144,70081,2583,9.7175,"40-80"
294,60590525181036,60650301043015,1,60650301043,34.0035562,-117.3620745,33.6602862,-117.7708462,68766,2630,9.73055555555556,"40-80"
